Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma
379,238.732067,0.000000,0.000000,0,0
380,239.493215,0.000000,0.000000,0,0
381,240.470372,0.000000,0.000000,0,0
382,240.260276,0.000000,0.000000,0,0
383,240.054161,0.000000,0.000000,0,0
384,240.831892,0.000000,0.000000,0,0
385,240.634578,0.000000,0.000000,0,0
386,240.441261,0.000000,0.000000,0,0
387,240.251951,0.000000,0.000000,0,0
388,241.049787,0.000000,0.000000,0,0
389,240.869259,0.000000,0.000000,0,0
390,240.692750,0.000000,0.000000,0,0
391,240.520269,0.000000,0.000000,0,0
392,240.351825,0.000000,0.000000,0,0
393,240.187427,0.000000,0.000000,0,0
394,240.027082,0.000000,0.000000,0,0
395,240.858880,0.000000,0.000000,0,0
396,240.707291,0.000000,0.000000,0,0
397,240.559764,0.000000,0.000000,0,0
398,240.416306,0.000000,0.000000,0,0
399,240.276924,0.000000,0.000000,0,0
400,241.132744,0.000000,0.000000,0,0
401,241.002075,0.000000,0.000000,0,0
402,241.867732,0.000000,0.000000,0,0
403,241.745734,0.000000,0.000000,0,0
404,242.621104,0.000000,0.000000,0,0
405,243.501540,0.000000,0.000000,0,0
406,244.386988,0.000000,0.000000,0,0
407,245.277394,0.000000,0.000000,0,0
408,246.272207,0.000000,0.000000,0,0
409,247.267062,0.000000,0.000000,0,0
410,248.261958,0.000000,0.000000,0,0
411,249.256896,0.000000,0.000000,0,0
412,250.251873,0.000000,0.000000,0,0
413,251.246891,0.000000,0.000000,0,0
414,252.144800,0.000000,0.000000,0,0
415,253.047426,0.000000,0.000000,0,0
416,253.954720,0.000000,0.000000,0,0
417,253.870045,0.000000,0.000000,0,0
418,253.789283,0.000000,0.000000,0,0
419,254.709639,0.000000,0.000000,0,0
420,254.636997,0.000000,0.000000,0,0
421,254.568262,0.000000,0.000000,0,0
422,254.503438,0.000000,0.000000,0,0
423,255.440795,0.000000,0.000000,0,0
424,255.384025,0.000000,0.000000,0,0
425,255.331158,0.000000,0.000000,0,0
426,254.283307,0.000000,0.000000,0,0
427,254.238077,0.000000,0.000000,0,0
428,254.196774,0.000000,0.000000,0,0
429,254.159399,0.000000,0.000000,0,0
430,254.125953,0.000000,0.000000,0,0
431,254.096438,0.000000,0.000000,0,0
432,254.070856,0.000000,0.000000,0,0
433,254.049208,0.000000,0.000000,0,0
434,254.031494,0.000000,0.000000,0,0
435,254.017716,0.000000,0.000000,0,0
436,254.007874,0.000000,0.000000,0,0
437,254.001968,0.000000,0.000000,0,0
438,254.000000,0.000000,0.000000,0,0
439,253.001976,0.000000,0.000000,0,0
440,253.007905,0.000000,0.000000,0,0
441,253.017786,0.000000,0.000000,0,0
442,253.031619,0.000000,0.000000,0,0
443,253.049402,0.000000,0.000000,0,0
444,254.070856,0.000000,0.000000,0,0
445,254.096438,0.000000,0.000000,0,0
446,254.125953,0.000000,0.000000,0,0
447,254.159399,0.000000,0.000000,0,0
448,255.196003,0.000000,0.000000,0,0
449,256.236219,0.000000,0.000000,0,0
450,257.235301,0.000000,0.000000,0,0
451,258.234390,0.000000,0.000000,0,0
452,259.233485,0.000000,0.000000,0,0
453,260.232588,0.000000,0.000000,0,0
454,261.191501,0.000000,0.000000,0,0
455,262.230814,0.000000,0.000000,0,0
456,263.229938,0.000000,0.000000,0,0
457,264.272587,0.000000,0.000000,0,0
458,265.318676,0.000000,0.000000,0,0
459,266.368166,0.000000,0.000000,0,0
460,266.422597,0.000000,0.000000,0,0
461,267.478971,0.000000,0.000000,0,0
462,267.540651,0.000000,0.000000,0,0
463,267.606054,0.000000,0.000000,0,0
464,267.675176,0.000000,0.000000,0,0
465,267.748016,0.000000,0.000000,0,0
466,267.824569,0.000000,0.000000,0,0
467,267.904834,0.000000,0.000000,0,0
468,267.988806,0.000000,0.000000,0,0
469,268.076482,0.000000,0.000000,0,0
470,268.167858,0.000000,0.000000,0,0
471,268.262931,0.000000,0.000000,0,0
472,268.361696,0.000000,0.000000,0,0
473,268.464150,0.000000,0.000000,0,0
474,267.576157,0.000000,0.000000,0,0
475,267.686384,0.000000,0.000000,0,0
476,267.800299,0.000000,0.000000,0,0
477,266.925083,0.000000,0.000000,0,0
478,267.046812,0.000000,0.000000,0,0
479,267.172229,0.000000,0.000000,0,0
480,267.301328,0.000000,0.000000,0,0
481,267.434104,0.000000,0.000000,0,0
482,266.580194,0.000000,0.000000,0,0
483,266.720828,0.000000,0.000000,0,0
484,265.875911,0.000000,0.000000,0,0
485,266.024435,0.000000,0.000000,0,0
486,266.176633,0.000000,0.000000,0,0
487,266.332499,0.000000,0.000000,0,0
488,266.492026,0.000000,0.000000,0,0
489,266.655208,0.000000,0.000000,0,0
490,267.807767,0.000000,0.000000,0,0
491,268.793601,0.000000,0.000000,0,0
492,269.779540,0.000000,0.000000,0,0
493,270.765581,0.000000,0.000000,0,0
494,271.751725,0.000000,0.000000,0,0
495,272.904745,0.000000,0.000000,0,0
496,273.890489,0.000000,0.000000,0,0
497,275.045451,0.000000,0.000000,0,0
498,275.218095,0.000000,0.000000,0,0
499,276.378364,0.000000,0.000000,0,0
500,275.573947,0.000000,0.000000,0,0
501,276.739950,0.000000,0.000000,0,0
502,276.925983,0.000000,0.000000,0,0
503,277.115499,0.000000,0.000000,0,0
504,277.308492,0.000000,0.000000,0,0
505,277.504955,0.000000,0.000000,0,0
506,277.704879,0.000000,0.000000,0,0
507,277.908258,0.000000,0.000000,0,0
508,278.115084,0.000000,0.000000,0,0
509,277.348157,0.000000,0.000000,0,0
510,277.562606,0.000000,0.000000,0,0
511,276.804986,0.000000,0.000000,0,0
512,277.027074,0.000000,0.000000,0,0
513,276.278845,0.000000,0.000000,0,0
514,276.508589,0.000000,0.000000,0,0
515,275.769832,0.000000,0.000000,0,0
516,275.036361,0.000000,0.000000,0,0
517,275.278041,0.000000,0.000000,0,0
518,274.554184,0.000000,0.000000,0,0
519,274.803566,0.000000,0.000000,0,0
520,274.089401,0.000000,0.000000,0,0
521,274.346496,0.000000,0.000000,0,0
522,274.606992,0.000000,0.000000,0,0
523,274.870879,0.000000,0.000000,0,0
524,275.138147,0.000000,0.000000,0,0
525,275.408787,0.000000,0.000000,0,0
526,275.682789,0.000000,0.000000,0,0
527,275.960142,0.000000,0.000000,0,0
528,276.240837,0.000000,0.000000,0,0
529,276.524863,0.000000,0.000000,0,0
530,276.812211,0.000000,0.000000,0,0
531,277.102869,0.000000,0.000000,0,0
532,276.441676,0.000000,0.000000,0,0
533,277.694076,0.000000,0.000000,0,0
534,278.948024,0.000000,0.000000,0,0
535,279.901768,0.000000,0.000000,0,0
536,280.855835,928.237101,1.000000,116,62228
537,282.109908,0.000000,0.000000,0,0
538,283.063597,0.000000,0.000000,0,0
539,284.318483,0.000000,0.000000,0,0
540,284.622557,0.000000,0.000000,0,0
541,284.929816,0.000000,0.000000,0,0
542,285.240250,0.000000,0.000000,0,0
543,285.553848,0.000000,0.000000,0,0
544,286.818758,0.000000,0.000000,0,0
545,286.190496,0.000000,0.000000,0,0
546,286.513525,0.000000,0.000000,0,0
547,286.839676,0.000000,0.000000,0,0
548,287.168940,0.000000,0.000000,0,0
549,286.558894,0.000000,0.000000,0,0
550,286.895451,0.000000,0.000000,0,0
551,286.295302,0.000000,0.000000,0,0
552,286.639146,0.000000,0.000000,0,0
553,286.048947,0.000000,0.000000,0,0
554,285.464534,0.000000,0.000000,0,0
555,284.885942,0.000000,0.000000,0,0
556,284.313208,0.000000,0.000000,0,0
557,283.746366,0.000000,0.000000,0,0
558,283.185452,0.000000,0.000000,0,0
559,282.630501,0.000000,0.000000,0,0
560,282.081548,0.000000,0.000000,0,0
561,281.156540,0.000000,0.000000,0,0
562,280.615395,0.000000,0.000000,0,0
563,280.080346,0.000000,0.000000,0,0
564,279.551426,0.000000,0.000000,0,0
565,279.028672,0.000000,0.000000,0,0
566,278.512118,0.000000,0.000000,0,0
567,278.915758,0.000000,0.000000,0,0
568,278.409770,0.000000,0.000000,0,0
569,277.910057,0.000000,0.000000,0,0
570,277.416654,0.000000,0.000000,0,0
571,276.929594,0.000000,0.000000,0,0
572,276.448910,0.000000,0.000000,0,0
573,276.877229,0.000000,0.000000,0,0
574,276.407308,0.000000,0.000000,0,0
